code,Rank2021,EN_country,sc_2021,changeRank,Rank2020,sc_2020
AFG,122,Afghanistan,40.19,0,122,37.7
AGO,103,Angola,34.06,3,106,33.92
ALB,83,Albania,30.59,1,84,30.25
AND,39,Andorra,23.32,-2,37,23.23
ARE,131,United Arab Emirates,43.13,0,131,42.69
ARG,69,Argentina,28.99,-5,64,28.78
ARM,63,Armenia,28.83,-2,61,28.6
AUS,25,Australia,19.79,1,26,20.21
AUT,17,Austria,16.34,1,18,15.78
AZE,167,Azerbaijan,58.77,1,168,58.48
BDI,147,Burundi,47.57,13,160,55.33
BEL,11,Belgium,11.69,1,12,12.57
BEN,114,Benin,38.18,-1,113,35.11
BFA,37,Burkina Faso,23.17,1,38,23.47
BGD,152,Bangladesh,49.71,-1,151,49.37
BGR,112,Bulgaria,37.29,-1,111,35.06
BHR,168,Bahrain,61.1,1,169,60.13
BIH,58,Bosnia and Herzegovina,28.34,0,58,28.51
BLR,158,Belarus,50.82,-5,153,49.75
BLZ,53,Belize,27.61,0,53,27.5
BOL,110,Bolivia,35.47,4,114,35.37
BRA,111,Brazil,36.25,-4,107,34.05
BRN,154,Brunei Darussalam,49.91,-2,152,49.65
BTN,65,Bhutan,28.86,2,67,28.9
BWA,38,Botswana,23.25,1,39,23.56
CAF,126,Central African Republic,41.92,6,132,42.87
CAN,14,Canada,15.25,2,16,15.29
CHE,10,Switzerland,10.55,-2,8,10.62
CHL,54,Chile,27.89,-3,51,27.31
CHN,177,China,78.72,0,177,78.48
CIV,66,Ivory Coast,28.87,2,68,28.94
CMR,135,Cameroon,43.78,-1,134,43.28
COD,149,The Democratic Republic Of The Congo,48.59,1,150,49.09
COG,118,Congo,38.83,0,118,36.56
COL,134,Colombia,43.74,-4,130,42.66
COM,84,Comoros,30.65,-9,75,29.77
CPV,27,Cape Verde,20.09,-2,25,20.15
CRI,5,Costa Rica,8.76,2,7,10.53
CTU,76,Cyprus North,29.82,1,77,29.79
CUB,171,Cuba,63.94,0,171,63.81
CYP,26,Cyprus,19.85,1,27,20.45
CZE,40,Czech Republic,23.38,0,40,23.57
DEU,13,Germany,15.24,-2,11,12.16
DJI,176,Djibouti,78.62,0,176,76.73
DNK,4,Denmark,8.57,-1,3,8.13
DOM,50,Dominican Republic,25.6,5,55,27.9
DZA,146,Algeria,47.26,0,146,45.52
ECU,96,Ecuador,32.83,2,98,32.62
EGY,166,Egypt,56.17,0,166,56.82
ERI,180,Eritrea,81.45,-2,178,83.5
ESP,29,Spain,20.44,0,29,22.16
EST,15,Estonia,15.25,-1,14,12.61
ETH,101,Ethiopia,33.63,-2,99,32.82
FIN,2,Finland,6.99,0,2,7.93
FJI,55,Fiji,27.92,-3,52,27.41
FRA,34,France,22.6,0,34,22.92
GAB,117,Gabon,38.6,4,121,37.2
GBR,33,United Kingdom,21.59,2,35,22.93
GEO,60,Georgia,28.64,0,60,28.59
GHA,30,Ghana,21.33,0,30,22.26
GIN,109,Guinea,35.42,1,110,34.34
GMB,85,Gambia,30.76,2,87,30.62
GNB,95,Guinea-Bissau,32.68,-1,94,32.06
GNQ,164,Equatorial Guinea,55.67,1,165,56.38
GRC,70,Greece,29.01,-5,65,28.8
GTM,116,Guatemala,38.45,0,116,35.74
GUY,51,Guyana,25.61,-2,49,26.63
HKG,80,Hong Kong,30.44,0,80,30.01
HND,151,Honduras,49.35,-3,148,48.2
HRV,56,Croatia,27.95,3,59,28.51
HTI,87,Haiti,31.12,-4,83,30.2
HUN,92,Hungary,31.76,-3,89,30.84
IDN,113,Indonesia,37.4,6,119,36.82
IND,142,India,46.56,0,142,45.33
IRL,12,Ireland,11.91,1,13,12.6
IRN,174,Islamic Republic of Iran,72.7,-1,173,64.81
IRQ,163,Iraq,55.57,-1,162,55.37
ISL,16,Iceland,15.37,-1,15,15.12
ISR,86,Israel,30.9,2,88,30.84
ITA,41,Italy,23.39,0,41,23.69
JAM,7,Jamaica,9.96,-1,6,10.51
